eb,qb,T_r2,conf_r2,T_lam,conf_lam,n_lam_peaks,n_r1_troughs,n_r2_troughs,phi_r1,phi_r2,lag_r1,lag_r2,n_matches_r1,n_matches_r2
0.0,0.1,438.125,998.6729679569313,1752.5,18.639433190512474,56,48,16,73.95149786019971,197.20399429386592,90.0,240.0,56,54
0.1,0.1,194.72222222222223,15.769048950400549,155.77777777777777,17.42709653631266,61,65,65,110.92724679029956,110.92724679029956,60.0,60.0,61,58
0.2,0.1,81.51162790697674,15.203270822326578,2336.666666666667,101.58701185880693,4,77,79,264.99286733238233,220.82738944365192,60.0,50.0,4,3
0.3,0.1,368.9473684210526,9.481169750163373,1168.3333333333335,12.655379788160483,56,66,72,58.54493580599145,58.54493580599145,60.0,60.0,55,55
0.4,0.1,280.4,12.512996426569197,368.9473684210526,18.66286029033049,70,81,71,64.19400855920114,64.19400855920114,50.0,50.0,69,70
0.5,0.1,77.03296703296704,8.029311812783092,2336.666666666667,22.760749382537064,39,67,77,233.66619115549213,233.66619115549213,50.0,50.0,35,38
0.6,0.1,184.4736842105263,9.337926937624482,1402.0,13.653582776775318,57,80,80,78.0599144079886,78.0599144079886,40.0,40.0,57,57
0.8,0.1,134.375,7.611504710723627,102.38095238095237,7.461624234862688,22,23,23,133.95348837209303,147.34883720930233,50.0,55.0,21,22
0.0,0.2,212.42424242424244,455.0022236373335,2336.666666666667,15.246808393296362,59,33,33,169.472182596291,194.89300998573464,100.0,115.0,58,58
0.1,0.2,1001.4285714285713,47.379889951869245,389.44444444444446,143.17474622917086,20,12,21,118.63052781740372,68.30242510699001,330.0,190.0,19,19
0.2,0.2,539.2307692307693,10.09114435686939,2336.666666666667,17.50756656001084,68,75,74,20.028530670470754,33.38088445078459,30.0,50.0,68,67
0.3,0.2,2336.666666666667,12.341421644808817,137.45098039215685,14.615638955234964,65,79,53,130.95577746077035,209.52924393723254,50.0,80.0,65,58
0.4,0.2,2336.666666666667,18.15317642175222,304.7826086956522,11.245567431337266,62,74,70,59.05848787446505,70.87018544935806,50.0,60.0,62,60
0.5,0.2,539.2307692307693,9.75363762574216,1752.5,10.187909847428578,71,76,79,33.38088445078459,33.38088445078459,50.0,50.0,71,71
0.6,0.2,280.4,8.569891543011893,146.04166666666669,12.622073856583999,62,74,67,70.61340941512127,64.19400855920114,55.0,50.0,62,62
0.8,0.2,539.2307692307693,9.774149295710407,113.06451612903226,12.196295642347987,73,77,66,33.38088445078459,33.38088445078459,50.0,50.0,70,71
0.0,0.3,304.7826086956522,287.2741682021575,259.6296296296296,10.791994444212062,77,26,23,153.55206847360913,177.17546362339513,130.0,150.0,75,77
0.1,0.3,876.25,22.90858841473153,500.71428571428567,76.30418781227173,26,14,40,164.33666191155493,36.975748930099854,400.0,90.0,25,25
0.2,0.3,152.3913043478261,6.638802285850097,1752.5,6.77860998413173,81,85,75,141.74037089871612,118.1169757489301,60.0,50.0,81,80
0.3,0.3,539.2307692307693,11.535568540743341,584.1666666666667,36.54630090235879,35,69,18,40.05706134094151,120.17118402282453,60.0,180.0,34,31
0.4,0.3,219.0625,12.250881467361992,1402.0,10.481861425301005,72,76,72,82.16833095577746,82.16833095577746,50.0,50.0,72,72
0.5,0.3,104.62686567164178,13.108194046577468,2336.666666666667,13.941211102132465,81,66,75,172.03994293865907,206.4479315263909,50.0,60.0,74,80
0.6,0.3,2336.666666666667,10.821633489598028,637.2727272727273,17.60594933334351,64,71,75,33.89443651925821,33.89443651925821,60.0,60.0,64,64
0.8,0.3,350.5,82.6724561907259,701.0,248.57514460583778,12,33,32,20.542082738944366,77.03281027104137,20.0,75.0,11,12
0.0,0.4,304.7826086956522,166.317737315241,368.9473684210526,11.06788888027801,75,101,55,47.24679029957204,82.68188302425106,40.0,70.0,75,73
0.1,0.4,778.8888888888889,33.507209327337016,778.8888888888889,38.10091474385819,32,18,39,184.87874465049927,27.73181169757489,400.0,60.0,31,32
0.2,0.4,2336.666666666667,14.215729267382546,2336.666666666667,18.458707613257197,37,76,47,6.162624821683308,9.243937232524964,40.0,60.0,37,37
0.3,0.4,269.61538461538464,9.301879266256709,467.3333333333333,20.29180658136525,52,74,62,73.43794579172611,80.11412268188302,55.0,60.0,52,52
0.4,0.4,1168.3333333333335,8.362407565179668,152.3913043478261,9.67248226141564,62,78,71,15.40656205420827,12.325249643366616,50.0,40.0,61,61
0.5,0.4,389.44444444444446,12.696387144160315,134.80769230769232,9.467618561206436,80,93,93,36.975748930099854,46.21968616262482,40.0,50.0,79,79
0.6,0.4,103.08823529411765,9.93717551044064,637.2727272727273,12.464803666224556,77,81,82,174.60770328102709,174.60770328102709,50.0,50.0,75,75
0.8,0.4,333.8095238095238,772.5227789185345,333.8095238095238,357.00048093574804,21,22,21,334.32239657631953,64.70756062767475,310.0,60.0,21,21
0.0,0.5,304.7826086956522,105.75707433656227,2336.666666666667,12.799639878254547,80,84,68,59.05848787446505,70.87018544935806,50.0,60.0,78,79
0.1,0.5,701.0,47.329404039504,701.0,82.72410114952584,26,20,30,154.06562054208274,35.94864479315264,300.0,70.0,25,26
0.2,0.5,184.4736842105263,11.317080997062051,1752.5,9.848837122595238,47,71,75,97.57489300998574,58.54493580599145,50.0,30.0,47,46
0.3,0.5,259.6296296296296,9.264636699309234,56.99186991869919,11.750209138959356,106,91,71,69.32952924393723,69.32952924393723,50.0,50.0,106,106
0.4,0.5,2336.666666666667,60.22196748043533,2336.666666666667,112.29558227502102,15,56,14,9.243937232524964,27.73181169757489,60.0,180.0,15,15
0.5,0.5,1168.3333333333335,27.829522353019588,104.62686567164178,9.275292132792911,76,71,46,15.40656205420827,27.73181169757489,50.0,90.0,75,75
0.6,0.5,1168.3333333333335,135.5865834648536,1168.3333333333335,210.4150677685549,5,30,13,9.243937232524964,33.8944365192582,30.0,110.0,5,5
0.8,0.5,280.4,615.9686581993482,280.4,348.20925823063965,25,26,25,295.29243937232525,77.03281027104138,230.0,60.0,25,25
0.0,0.6,292.08333333333337,147.49293690392435,1752.5,12.080157173546082,72,63,54,61.62624821683308,73.95149786019971,50.0,60.0,72,72
0.1,0.6,778.8888888888889,37.01948736701945,701.0,113.71395592873256,19,26,37,73.95149786019971,23.10984308131241,160.0,50.0,19,19
0.2,0.6,2336.666666666667,14.071543442745556,62.58928571428571,16.04412553436906,106,93,96,287.5891583452211,115.03566333808845,50.0,20.0,98,102
0.3,0.6,114.91803278688525,8.648129275363477,467.3333333333333,9.286764819244588,67,82,83,187.96005706134093,93.98002853067047,60.0,30.0,65,66
