eb,qb,tau_lr1,pc_lr1,c0_lr1,tau_lr2,pc_lr2,c0_lr2,tau_r12,pc_r12,c0_r12
0.0,0.1,80.0,0.0791453064651006,0.03888224666173021,-150.0,-0.02398598998106167,-0.003736605803904448,-130.0,0.48412455862242854,-0.11603365417677826
0.1,0.1,30.0,-0.1993224328757742,-0.02591700195116101,20.0,0.19935434716639305,0.18635604713771411,0.0,0.2950649449625918,0.2950649449625918
0.2,0.1,-200.0,-0.3649898523102721,-0.33277568858134216,100.0,-0.26273749528943785,-0.2221512742018046,0.0,0.5178363706792404,0.5178363706792404
0.3,0.1,-10.0,0.21988088418678778,0.17361769577018607,30.0,-0.11112347178484348,-0.07814125141316747,0.0,0.6994730632271084,0.6994730632271084
0.4,0.1,20.0,-0.09004120331793332,-0.016461419028534232,90.0,-0.141080150354644,-0.09819661995139538,0.0,0.15228380293529484,0.15228380293529484
0.5,0.1,-180.0,0.3655665922524814,0.33707417187510325,-50.0,-0.22063923530632226,-0.19311407363507457,200.0,-0.15159993323108908,0.028897518580098314
0.6,0.1,-160.0,-0.07135747346283453,0.019078029794850206,-160.0,-0.17652344780067572,-0.0395214742874793,0.0,0.6649261056894583,0.6649261056894583
0.8,0.1,-90.0,-0.13183098719087616,-0.12332377322227289,60.0,0.18423340847542463,0.0789132876141586,0.0,0.23812964274545076,0.23812964274545076
0.0,0.2,-70.0,0.07961928764815371,0.0671606838282693,60.0,0.05950435015675882,0.009146480358030585,130.0,0.8855774619366733,-0.6124067292657773
0.1,0.2,110.0,-0.7865691232852524,0.012281694566501654,-110.0,-0.3829365406040102,-0.04463983804784909,120.0,0.4720985401902777,0.11001642036524219
0.2,0.2,10.0,0.15621618855194302,-0.04299508419899621,20.0,-0.16261704019062664,0.06976292511524185,10.0,-0.5270613939496618,0.3459203620614157
0.3,0.2,-40.0,-0.12090562030382077,0.04947921807794289,-100.0,0.2550530721150062,0.10771751700097679,-20.0,-0.15045170479252148,0.011712211451385129
0.4,0.2,-200.0,-0.11081270491282022,-0.010214471772758284,-50.0,0.12270494361382776,0.10089722674652266,0.0,0.3542145246463773,0.3542145246463773
0.5,0.2,80.0,0.12503378823365344,0.02904439738798792,160.0,-0.1479432413838368,-0.04607957880080374,0.0,0.3571780542012101,0.3571780542012101
0.6,0.2,170.0,-0.11677685624349866,-0.07002987786422037,40.0,-0.16109858705709895,-0.07614345055461014,0.0,0.5975487567975911,0.5975487567975911
