eb,qb,pair,peak_C,peak_lag_tau_b,C_at_zero_lag,found
0.0,0.1,lambda-rmin1,0.0791453064651006,80.0,0.03888224666173021,False
0.0,0.1,lambda-rmin2,-0.02398598998106167,-150.0,-0.003736605803904448,False
0.1,0.1,lambda-rmin1,-0.1993224328757742,30.0,-0.02591700195116101,False
0.1,0.1,lambda-rmin2,0.19935434716639305,20.0,0.18635604713771411,False
0.2,0.1,lambda-rmin1,-0.34882844331703633,-20.0,-0.33277568858134216,True
0.2,0.1,lambda-rmin2,-0.26273749528943785,100.0,-0.2221512742018046,False
0.3,0.1,lambda-rmin1,0.21988088418678778,-10.0,0.17361769577018607,False
0.3,0.1,lambda-rmin2,-0.11112347178484348,30.0,-0.07814125141316747,False
0.4,0.1,lambda-rmin1,-0.09004120331793332,20.0,-0.016461419028534232,False
0.4,0.1,lambda-rmin2,-0.141080150354644,90.0,-0.09819661995139538,False
0.5,0.1,lambda-rmin1,0.341447270731973,-20.0,0.33707417187510325,True
0.5,0.1,lambda-rmin2,-0.22063923530632226,-50.0,-0.19311407363507457,False
0.6,0.1,lambda-rmin1,-0.07135747346283453,-160.0,0.019078029794850206,False
0.6,0.1,lambda-rmin2,-0.17652344780067572,-160.0,-0.0395214742874793,False
0.8,0.1,lambda-rmin1,-0.13183098719087616,-90.0,-0.12332377322227289,False
0.8,0.1,lambda-rmin2,0.18423340847542463,60.0,0.0789132876141586,False
0.0,0.2,lambda-rmin1,0.07961928764815371,-70.0,0.0671606838282693,False
0.0,0.2,lambda-rmin2,0.05950435015675882,60.0,0.009146480358030585,False
0.1,0.2,lambda-rmin1,0.5176150396532262,-80.0,0.012281694566501654,True
0.1,0.2,lambda-rmin2,-0.3829365406040102,-110.0,-0.04463983804784909,True
0.2,0.2,lambda-rmin1,0.15621618855194302,10.0,-0.04299508419899621,False
0.2,0.2,lambda-rmin2,-0.16261704019062664,20.0,0.06976292511524185,False
0.3,0.2,lambda-rmin1,-0.12090562030382077,-40.0,0.04947921807794289,False
0.3,0.2,lambda-rmin2,0.2550530721150062,-100.0,0.10771751700097679,False
0.4,0.2,lambda-rmin1,-0.11081270491282022,-200.0,-0.010214471772758284,False
0.4,0.2,lambda-rmin2,0.12270494361382776,-50.0,0.10089722674652266,False
0.5,0.2,lambda-rmin1,0.12503378823365344,80.0,0.02904439738798792,False
0.5,0.2,lambda-rmin2,-0.1479432413838368,160.0,-0.04607957880080374,False
0.6,0.2,lambda-rmin1,-0.11677685624349866,170.0,-0.07002987786422037,False
0.6,0.2,lambda-rmin2,-0.16109858705709895,40.0,-0.07614345055461014,False
0.8,0.2,lambda-rmin1,-0.12365008493384975,100.0,-0.08157789993591064,False
0.8,0.2,lambda-rmin2,0.08860665041080985,200.0,-0.051620387072142795,False
0.0,0.3,lambda-rmin1,0.07998079048704354,150.0,-0.044274897125640936,False
0.0,0.3,lambda-rmin2,-0.05148750705544265,-160.0,0.01763678523522524,False
0.1,0.3,lambda-rmin1,0.49008753609506267,-100.0,-0.029323847462116942,True
0.1,0.3,lambda-rmin2,-0.38211363264615816,-80.0,-0.10381284050867019,True
0.2,0.3,lambda-rmin1,0.6482787739005766,-10.0,-0.3466415717839725,True
0.2,0.3,lambda-rmin2,0.4655518315781706,10.0,-0.1618707805441002,True
0.3,0.3,lambda-rmin1,-0.16512340022570415,0.0,-0.16512340022570415,False
0.3,0.3,lambda-rmin2,0.09722117466445368,90.0,0.045925592569522944,False
0.4,0.3,lambda-rmin1,-0.12928273778357216,-140.0,-0.10778622756335247,False
0.4,0.3,lambda-rmin2,0.1387867580677968,-130.0,0.10568256738243406,False
0.5,0.3,lambda-rmin1,0.08854264162764498,130.0,0.015974987482234908,False
0.5,0.3,lambda-rmin2,-0.10603003191894418,-70.0,0.006310106327563009,False
0.6,0.3,lambda-rmin1,-0.08849873285812296,-200.0,0.041973915310238114,False
0.6,0.3,lambda-rmin2,-0.09519728857744764,10.0,-0.04026721032033223,False
0.8,0.3,lambda-rmin1,-0.738674376562019,10.0,-0.7364002619295706,True
0.8,0.3,lambda-rmin2,0.4711124200467661,-200.0,-0.06938065460145038,True
0.0,0.4,lambda-rmin1,0.08943075393781685,-60.0,0.030112425339610973,False
0.0,0.4,lambda-rmin2,0.11642383232597571,110.0,0.034381108251609664,False
0.1,0.4,lambda-rmin1,-0.580697827643937,10.0,-0.5744092543893069,True
0.1,0.4,lambda-rmin2,-0.3867686655906536,-200.0,0.26773837292665936,True
0.2,0.4,lambda-rmin1,-0.2534426163347005,-10.0,-0.24331712435202413,False
0.2,0.4,lambda-rmin2,-0.08920923970171458,-50.0,0.015029192175670787,False
0.3,0.4,lambda-rmin1,-0.308938311828161,-90.0,-0.2018941096747218,True
0.3,0.4,lambda-rmin2,-0.2704659383653446,-140.0,-0.10873400402261917,False
0.4,0.4,lambda-rmin1,0.06174360369180476,0.0,0.06174360369180476,False
0.4,0.4,lambda-rmin2,0.10424319963471261,30.0,0.07156086258943528,False
0.5,0.4,lambda-rmin1,-0.080228512709237,-150.0,-0.03798811016392734,False
0.5,0.4,lambda-rmin2,-0.07687728715165326,-140.0,0.03646548407688557,False
0.6,0.4,lambda-rmin1,-0.09952218891320581,140.0,-0.04595158692712396,False
0.6,0.4,lambda-rmin2,-0.16581186407073648,10.0,-0.12812321126193096,False
0.8,0.4,lambda-rmin1,-0.5988694218941814,10.0,-0.5808312578619461,True
0.8,0.4,lambda-rmin2,-0.8121422869295607,-70.0,-0.09900084837024033,True
0.0,0.5,lambda-rmin1,-0.07954177771454363,110.0,0.014030200099933067,False
0.0,0.5,lambda-rmin2,-0.07069759557740313,-50.0,0.006149558220871496,False
