eb,qb,pair,peak_C,peak_lag_tau_b,C_at_zero_lag
0.0,0.1,lambda-rmin1,-0.11313487689041532,-760.0,0.03888224666173021
0.0,0.1,lambda-rmin2,0.059237653397852516,690.0,-0.003736605803904448
0.0,0.1,lambda-mdot1,0.630934326849723,-1000.0,0.07803755036865676
0.0,0.1,lambda-mdot2,0.6532048745670227,-1000.0,0.21556270633011407
0.0,0.1,rmin1-rmin2,0.48412455862242854,-130.0,-0.11603365417677826
0.0,0.1,mdot1-mdot2,0.9899890796822116,0.0,0.9899890796822116
0.0,0.1,mdot1-rmin1,-0.13744933152786518,90.0,-0.13215668782487272
0.0,0.1,mdot1-rmin2,0.04792514568728999,-900.0,0.021418657655982325
0.0,0.1,mdot2-rmin1,-0.13256998173374576,-970.0,-0.12259527683710661
0.0,0.1,mdot2-rmin2,0.035943509553545486,-910.0,0.020508348991831488
0.0,0.1,lambda-alpha1,-0.1119104295173193,210.0,-0.10776634012772618
0.0,0.1,lambda-alpha2,0.08165397243480631,790.0,0.025494850071921035
0.0,0.1,lambda-mass_disk1,0.6164362893549363,-1000.0,0.11611421272023212
0.0,0.1,lambda-mass_disk2,0.5944370035636575,-1000.0,0.14379986555057264
0.1,0.1,lambda-rmin1,-0.1993224328757742,30.0,-0.02591700195116101
0.1,0.1,lambda-rmin2,0.19935434716639305,20.0,0.18635604713771411
0.1,0.1,lambda-mdot1,0.3077847593519936,-900.0,0.1491362683920073
0.1,0.1,lambda-mdot2,0.3185575866463626,0.0,0.3185575866463626
0.1,0.1,rmin1-rmin2,0.2950649449625918,0.0,0.2950649449625918
0.1,0.1,mdot1-mdot2,0.9855093722440023,-30.0,0.9843084788163032
0.1,0.1,mdot1-rmin1,-0.2784912899305789,930.0,-0.15870092526173232
0.1,0.1,mdot1-rmin2,-0.17670136595122815,1000.0,-0.15267589968486148
0.1,0.1,mdot2-rmin1,-0.2694982505664894,990.0,-0.15568522859709943
0.1,0.1,mdot2-rmin2,-0.16996799837434107,960.0,-0.11532336675854468
0.1,0.1,lambda-alpha1,-0.1491132641690642,-930.0,-0.01307322868974617
0.1,0.1,lambda-alpha2,-0.21089516973363517,-770.0,-0.18924436505691417
0.1,0.1,lambda-mass_disk1,0.3212689147042372,-900.0,0.15313248603559468
0.1,0.1,lambda-mass_disk2,0.32829873174216745,-930.0,0.32429804901960896
0.2,0.1,lambda-rmin1,-0.3649898523102721,-200.0,-0.33277568858134216
0.2,0.1,lambda-rmin2,-0.28941833748168255,-530.0,-0.2221512742018046
0.2,0.1,lambda-mdot1,0.7118529291674671,-980.0,0.5206589877070817
0.2,0.1,lambda-mdot2,0.8026631816191974,-980.0,0.6864819576086496
0.2,0.1,rmin1-rmin2,0.5178363706792404,0.0,0.5178363706792404
0.2,0.1,mdot1-mdot2,0.9778104525157012,0.0,0.9778104525157012
0.2,0.1,mdot1-rmin1,-0.34281162882777194,800.0,-0.28326758241079325
0.2,0.1,mdot1-rmin2,-0.3215846220133043,0.0,-0.3215846220133043
0.2,0.1,mdot2-rmin1,-0.35941908075474266,800.0,-0.3199972082239616
0.2,0.1,mdot2-rmin2,-0.3245948393062376,0.0,-0.3245948393062376
0.2,0.1,lambda-alpha1,0.23418019065790527,-740.0,0.18036309559050887
0.2,0.1,lambda-alpha2,-0.06551136045434719,900.0,-0.034377418717767436
0.2,0.1,lambda-mass_disk1,0.769561154404298,-1000.0,0.5911981498019384
0.2,0.1,lambda-mass_disk2,0.6562207956857101,-1000.0,0.4123771788970303
0.3,0.1,lambda-rmin1,0.25101680323308195,-730.0,0.17361769577018607
0.3,0.1,lambda-rmin2,-0.14407670789354982,-930.0,-0.07814125141316747
0.3,0.1,lambda-mdot1,0.8156026885393859,-30.0,0.7789907433909741
0.3,0.1,lambda-mdot2,0.8383612039420004,0.0,0.8383612039420004
0.3,0.1,rmin1-rmin2,0.6994730632271084,0.0,0.6994730632271084
0.3,0.1,mdot1-mdot2,0.9943400487848209,0.0,0.9943400487848209
0.3,0.1,mdot1-rmin1,0.264896638579382,-860.0,0.22597322924430807
0.3,0.1,mdot1-rmin2,-0.12213635472786902,-280.0,-0.09886044774413252
0.3,0.1,mdot2-rmin1,0.2634754395765015,-680.0,0.2237869296318548
0.3,0.1,mdot2-rmin2,-0.12240049307322759,-460.0,-0.10094003284388807
0.3,0.1,lambda-alpha1,-0.15237476418073925,820.0,-0.10038364090518562
0.3,0.1,lambda-alpha2,-0.33169530368211136,440.0,-0.263959942437928
